title,grant_id,source_url,source_domain,discovery_tier,agency,funding_amount_min,funding_amount_max,match_requirement,open_date,close_date,status,level,domain_tags,eligible_entities,summary,confidence_score,scraped_date,notes
TERP — New Technology Implementation Grants (NTIG),,https://www.tceq.texas.gov/airquality/terp/ntig.html,www.tceq.texas.gov,seed_verified,TCEQ,,,Yes — cost share required,,,open,state,clean_technology_innovation,Statewide entities implementing new emissions-reduction technologies,,0.7,4/26/26,Deadline/Cycle: Projected opening May 2026. Could fund shore power installations or innovative emissions-reduction tech at port facilities.
TERP — Alternative Fueling Facilities Program (AFFP),,https://www.tceq.texas.gov/airquality/terp/affp,www.tceq.texas.gov,seed_verified,TCEQ,,600000,Yes — at least 50% applicant share,,,closed,state,"ev_charging, alternative_fuel_infrastructure",Any legal entity in the 88-county Clean Transportation Zone (includes Brazoria County),,0.9,4/26/26,"Deadline/Cycle: Most recent cycle closed January 2026; next cycle TBD. Up to $600K or 50% of eligible costs. Covers EV charging, hydrogen, CNG/LNG stations. $12M total program."
Texas Volkswagen Environmental Mitigation Program — All-Electric,,https://www.tceq.texas.gov/agency/trust/all-electric,www.tceq.texas.gov,seed_verified,TCEQ,,,No match required for government entities,,,open,state,"electrification, emissions_reduction","State and local governments, corporations in priority areas",,0.9,4/26/26,"Deadline/Cycle: CURRENTLY OPEN — accepting applications through August 31, 2026. CURRENTLY OPEN. Government entities: up to 100% of incremental cost. Covers replacing diesel vehicles/equipment with all-electric + charging infrastructure. Freight switcher locomotives recently added."
Texas Volkswagen Environmental Mitigation Program — Locomotive/Marine Vessel,,https://www.tceq.texas.gov/agency/trust/,www.tceq.texas.gov,seed_verified,TCEQ,,,Varies; higher for government,,,forecasted,state,"marine_vessel, locomotive_repower",Entities in priority areas of Texas,,0.7,4/26/26,Deadline/Cycle: Round 2 suspended Feb 2025; future rounds expected. Directly relevant for port harbor craft and locomotive repower. Currently suspended but future rounds anticipated.
Texas GLO — Coastal Management Program (CMP) Grants,,https://www.glo.texas.gov/coastal/protecting-coast/funding-opportunities,www.glo.texas.gov,seed_verified,Texas General Land Office,,200000,Yes — 40% local match for NOAA-funded projects,,,open,state,"coastal_resilience, stormwater, environmental",Local governments within coastal zone. Port authorities qualify.,,0.9,4/26/26,"Deadline/Cycle: CURRENTLY OPEN — Cycle 32 accepting applications March 1 – June 3, 2026. CURRENTLY OPEN. Categories: coastal hazards, public access, water quality, habitat. Port Freeport is within the coastal zone."
Texas GLO — Coastal Erosion Planning and Response Act (CEPRA),,https://txglo.smapply.us/prog/coastal_erosion_planning_response_act_cepra/,txglo.smapply.us,seed_verified,Texas General Land Office,,,Yes — 25% for beach nourishment; 40% for other projects,,,open,state,"coastal_erosion, shoreline_protection","Any individuals or entities, public or private",,0.9,4/26/26,"Deadline/Cycle: Cycle 14 active (Sept 2025 – Aug 2027). Funds erosion response, habitat restoration, shoreline stabilization. In-kind contributions may count toward match."
TWDB — Flood Infrastructure Fund (FIF),,https://www.twdb.texas.gov/financial/programs/fif/index.asp,www.twdb.texas.gov,seed_verified,Texas Water Development Board,,,Varies by category; some allow 100% grants,,,open,state,"flood_mitigation, stormwater, drainage","Political subdivisions incl. navigation districts under TX Constitution Art. XVI, Sec. 59. Port Freeport qualifies.",,0.9,4/26/26,"Deadline/Cycle: Rolling abridged applications; SFY 2027 PIFs due March 2026. $625M+ latest round. Covers stormwater infrastructure, drainage, flood control, natural system restoration. Green/nature-based projects receive additional grant %."
TWDB — Clean Water State Revolving Fund (CWSRF),,https://www.twdb.texas.gov/financial/programs/CWSRF/index.asp,www.twdb.texas.gov,seed_verified,Texas Water Development Board,,,N/A — loan with potential principal forgiveness,,,open,state,"stormwater, water_quality_infrastructure",Political subdivisions including districts and authorities,,0.8,4/26/26,Deadline/Cycle: Annual; SFY 2027 PIFs due March 2026. $460M+ per year. Principal forgiveness available for disadvantaged communities or green projects — effectively converts portions to grants.
State and Local Cybersecurity Grant Program (SLCGP),,https://dir.texas.gov/information-security/state-and-local-cybersecurity-grant-program-slcgp,dir.texas.gov,seed_verified,Texas DIR / Governor's Public Safety Office,,,Yes — 30% for FY27 (increasing annually),,,closed,state,cybersecurity,Units of local government including political subdivisions. Port Freeport qualifies directly.,,0.9,4/26/26,Deadline/Cycle: Annual RFA; Year 3 closed Feb 2026; Year 4 expected ~December 2026. ~$40M over 4 years for Texas; 80%+ must pass to local governments. Must join TX-ISAO and complete cybersecurity training. Apply via eGrants. Relevant for OT/ICS/SCADA systems.
State Homeland Security Program (SHSP),,https://egrants.gov.texas.gov/,egrants.gov.texas.gov,seed_verified,Texas Governor's Office — Public Safety Office,10000,,Some sub-programs require 10%,,,open,state,"homeland_security, terrorism_prevention, cybersecurity",Local governments through regional COGs. Port Freeport applies through H-GAC.,,0.7,4/26/26,Deadline/Cycle: Annual cycle through eGrants. Port Freeport handles petrochemical operations. All projects must have nexus to terrorism prevention. Coordinate with H-GAC regional council.
TDEM — Hazard Mitigation Grant Program (HMGP) and BRIC,,https://tdem.texas.gov/mitigation/current-funding-opportunities,tdem.texas.gov,seed_verified,Texas Division of Emergency Management,,50000000,Yes — typically 25% non-federal match,,,open,state,"hazard_mitigation, flood_control, critical_infrastructure",Political subdivisions with FEMA-approved Local Hazard Mitigation Plan,,0.8,4/26/26,"Deadline/Cycle: HMGP opens after Presidential Disaster Declarations; BRIC has annual federal cycle. Brazoria County has recent disaster declarations (2024 storms, Hurricane Beryl) that may trigger HMGP. Projects: flood mitigation, drainage, storm surge barriers, infrastructure hardening."
H-GAC — Clean Vehicles Program,,https://www.h-gac.com/clean-vehicles,www.h-gac.com,seed_verified,Houston-Galveston Area Council,,30000,Varies,,,open,regional,"emissions_reduction, fleet_replacement",Any fleet operator with 75%+ usage in HGB nonattainment area,,0.9,4/26/26,"Deadline/Cycle: ROLLING — currently accepting applications. CURRENTLY ACCEPTING. ~$30K per heavy-duty truck replacement. Covers clean diesel, alternative fuel truck replacements, marine vessel engines, CNG/LNG stations. Contact: CleanVehicles@hgac.com"
H-GAC — Heavy Duty Diesel Replacement Program,,https://www.h-gac.com/heavy-duty-diesel-replacement-program,www.h-gac.com,seed_verified,Houston-Galveston Area Council,,,Yes — 25-50% depending on fuel type,,,open,regional,"diesel_equipment_replacement, electrification",Class 6-8 on-road vehicles and non-road equipment in HGB area,,0.9,4/26/26,Deadline/Cycle: ROLLING — currently accepting applications. 50% for diesel replacement; 75% for alternative fuel/electric. Equipment must have been in use in HGB area for prior 2 years.
H-GAC — Transportation Alternatives Set-Aside (TASA),,https://www.h-gac.com/getmedia/85fc3d37-4bb2-44ef-a828-536252942cfa/H-GAC-2025-TASA-Program-Guide,www.h-gac.com,seed_verified,Houston-Galveston Area Council (MPO),150000,10000000,Yes — 20% local match,,,open,regional,"transportation_infrastructure, freight_connectivity","Cities, counties, port authorities, special districts within H-GAC 8-county region",,0.9,4/26/26,"Deadline/Cycle: ~Every 2 years; SOPI forms Nov 2025–Jan 2026; questionnaire deadline Mar 2026. Port authorities explicitly listed as eligible sponsors. Projects evaluated on access/connectivity, safety, resiliency, innovation."
H-GAC — Subregional Planning Program,,https://www.h-gac.com/subregional-planning,www.h-gac.com,seed_verified,Houston-Galveston Area Council,100000,500000,Generally 20%,,,open,regional,"transportation_planning, freight_corridor_studies",Local public entities including port authorities within H-GAC region,,0.9,4/26/26,"Deadline/Cycle: Periodic (~every 2 years), embedded in UPWP development. Could fund freight corridor or port access study for SH-36, Hwy 288, or intermodal connectivity."
H-GAC — Climate Pollution Reduction Grant (CPRG) Implementation,,https://www.h-gac.com/climate-pollution-reduction-grant-program,www.h-gac.com,seed_verified,Houston-Galveston Area Council,2000000,500000000,Varies,,,open,regional,"ghg_emissions_reduction, clean_energy, port_electrification",Local governments and entities in 13-county H-GAC region,,0.7,4/26/26,Deadline/Cycle: Comprehensive plan due Dec 2025; implementation funding evolving through 2027. Port electrification and zero-emission equipment projects could emerge as priority implementation projects. Regional plan covers transportation/freight sectors.
H-GAC — Funding Development Program,,https://www.h-gac.com/funding-development,www.h-gac.com,seed_verified,Houston-Galveston Area Council,,,N/A,,,open,regional,cross-cutting_grant_technical_assistance,H-GAC member governments,,0.9,4/26/26,Deadline/Cycle: Annual cycle (~November). Free technical assistance for identifying funding and developing proposals. Not a direct grant — provides grant-writing support. Priorities include disaster resilience and infrastructure.
Skills Development Fund (SDF),,https://www.twc.texas.gov/programs/skills-development-fund,www.twc.texas.gov,seed_verified,Texas Workforce Commission,,500000,No cash match; employer must commit to full-time employment,,,open,state,"workforce_development, job_training",Public community/technical colleges or Workforce Development Boards in partnership with employer. Port Freeport partners with Brazosport College.,,0.9,4/26/26,"Deadline/Cycle: ROLLING — accepts proposals year-round. Precedent: BASF Corp. partnered with Brazosport College for $373,979 SDF grant in this region. Training: maritime ops, safety, hazmat, logistics, crane operations, cybersecurity."
Texas Talent Connection (TTC),,https://gov.texas.gov/organization/twic/wagner_peyser_7b_program,gov.texas.gov,seed_verified,Office of the Governor / TWC,,350000,No explicit cash match,,,open,state,workforce_innovation,"Partnerships of workforce boards, employers, and higher education institutions",,0.8,4/26/26,"Deadline/Cycle: FY2026 deadline was March 31, 2026; annual competitive cycle. Year 1: $350K; Year 2: $250K; Year 3: $200K. Port Freeport eligible as employer partner. Could propose maritime/logistics workforce pipeline innovation project."
Lone Star Workforce of the Future Fund,,https://www.twc.texas.gov/programs/workforce-of-the-future,www.twc.texas.gov,seed_verified,Texas Workforce Commission,,250000,Yes — 40% non-state match,,,open,state,workforce_development,Public junior colleges and nonprofits in partnership with employer,,0.7,4/26/26,"Deadline/Cycle: Rolling until funding exhausted. Up to $7,500 per trainee; max $250K per award. Created by 88th Legislature (HB 1755). At least 50% of participants must be placed in high-demand occupations."
SECO — LoanSTAR Revolving Loan Program,,https://comptroller.texas.gov/programs/seco/funding/,comptroller.texas.gov,seed_verified,State Energy Conservation Office / Texas Comptroller,,,N/A (loan program),,,open,state,"energy_efficiency, facility_upgrades","Texas public institutions (government buildings, public facilities)",,0.7,4/26/26,"Deadline/Cycle: Open enrollment through August 31, 2026. Low-interest loans for energy retrofits: LED lighting, HVAC, building automation. Port Freeport qualifies as public entity. Not a grant, but very low interest."
Texas Energy Fund — Backup Power Package Program (TBPP),,https://www.puc.texas.gov/industry/electric/business/texas-energy-fund/Default.aspx,www.puc.texas.gov,seed_verified,Public Utility Commission of Texas,,1250000,No,,,open,state,"energy_resilience, backup_power","Critical facilities — hospitals, emergency services, water plants, shelters. Port facilities may qualify as critical infrastructure.",,0.5,4/26/26,Deadline/Cycle: Application process expected to open late 2026 / early 2027. $1.8B program. Grants up to $500/kW (max $1.25M per project at 2.5MW cap) plus 100% forgivable loans. Port eligibility uncertain — worth monitoring.
Transportation Reinvestment Zone (TRZ),,https://www.txdot.gov/business/resources/lgp/financing-tools/transportation-reinvestment-zone.html,www.txdot.gov,seed_verified,Self-Initiated / TxDOT,,,N/A,,,open,local,transportation_infrastructure_financing,"Cities, counties, and port authorities — explicitly authorized under Texas law",,0.9,4/26/26,"Deadline/Cycle: Can be created at any time following statutory process. Port Freeport designates a contiguous area as a TRZ, capturing incremental property tax revenues. Can be combined with TxDOT Pass-Through financing. No board creation required."
Freeport Economic Development Corporation,,https://www.freeportedc.com/161/Funds,www.freeportedc.com,seed_verified,Freeport EDC (Type B),,,Yes — 50% for business improvement grants,,,open,local,"economic_development, infrastructure, business_attraction",Businesses within City of Freeport limits; infrastructure assistance negotiated case-by-case,,0.7,4/26/26,Deadline/Cycle: Ongoing. FEDC has flexibility with infrastructure funding and can negotiate case-by-case. Port Freeport could partner on joint infrastructure projects creating jobs.
Texas Broadband Development Office — Middle Mile Program,,https://comptroller.texas.gov/programs/broadband/funding/,comptroller.texas.gov,seed_verified,Texas Broadband Development Office / Comptroller,,200000000,Varies; up to 100% for emergency communications,,,closed,state,"broadband, communications_infrastructure",Political subdivisions of Texas — Port Freeport qualifies,,0.7,4/26/26,Deadline/Cycle: Latest round closed Nov 2025; future rounds possible. $1.5B voter-approved Broadband Infrastructure Fund. Could fund critical communications infrastructure at terminal facilities. Monitor for future rounds.
