title,grant_id,source_url,source_domain,discovery_tier,agency,funding_amount_min,funding_amount_max,match_required,open_date,close_date,status,level,domain_tags,eligible_entities,summary,confidence_score,scraped_date,notes
NOACA Surface Transportation Block Grant (STBG) / Transportation Alternatives set-aside,,https://www.noaca.org/community-assistance-center/funding-programs,noaca.org,seed_verified,Northeast Ohio Areawide Coordinating Agency,1,10000000,Yes — typically 20%,2025-10-01,TBD,rolling,regional,transportation|intermodal|infrastructure,Political subdivisions; port authorities; transit agencies; ODOT; county engineers,"NOACA allocates ~$51M/year in federal-aid funds to regional highway, transit, freight, and transportation-alternatives projects; port authorities eligible to sponsor.",0.70,2026-06-01,Federally sourced but regionally programmed by the MPO (overlooked regional discretion). Plan amended annually; TIP updated every two years.
NEORSD Green Infrastructure Grant Program,,https://www.neorsd.org/stormwater-2/green-infrastructure-grant-program/,neorsd.org,seed_verified,Northeast Ohio Regional Sewer District,1,250000,Reimbursement basis; first-year maintenance covered,2025-01-01,TBD,rolling,regional,water_quality|environmental|infrastructure,Member communities; governmental entities; 501(c)(3) nonprofits; businesses partnering with communities in the combined sewer area,"Grants up to $250,000 for green-infrastructure stormwater projects (bioretention, permeable pavement, green roofs, cisterns) that remove stormwater from the combined sewer system. Since 2014, NEORSD has allocated $10.7M capturing 32.5M gallons of annual runoff.",0.80,2026-06-01,Project must be in the combined-sewer service area (includes much of Cleveland). Reimbursement basis; pre-proposal meeting earns scoring points.
Lake Erie Protection Fund (LEPF),,https://lakeerie.ohio.gov/funding-oportunities/protection-fund,lakeerie.ohio.gov,seed_verified,Ohio Lake Erie Commission,1,50000,Varies,2026-01-01,2026-04-30,closed,state,water_quality|environmental|shoreline|lakefront,Research institutions; nonprofits; local governments; counties; municipalities; agencies,"Grants for research and on-the-ground projects that protect, preserve, and restore Lake Erie and its watershed; funded in part by Lake Erie license plate sales. Grants up to ~$50,000.",0.80,2026-06-01,Annual cycle. Smaller grants suited to shoreline/habitat pilots and feasibility work.
Lake Erie Community Grant (LECG),,https://lakeerie.ohio.gov/funding-oportunities/lake+erie+community+grant,lakeerie.ohio.gov,seed_verified,Ohio Lake Erie Commission,75000,750000,Varies; in-kind eligible,2026-02-10,2026-04-30,closed,state,water_quality|environmental|shoreline|community_development,Local governments; counties; municipalities; nonprofits; tribes; research/academic institutions,"Funds community-driven habitat restoration, stream daylighting, invasive species control, and stormwater projects in Ohio's Lake Erie watershed. ~12 small grants up to $75K and two large up to $750K. CMNH received $750K for Mentor Marsh restoration in Apr 2026.",0.85,2026-06-01,"GLRI-funded (federal pass-through) but administered by the state commission. Next round opened Feb 10, 2026; due April 30, 2026."
H2Ohio (Statewide Wetland / Water Quality Initiative),,https://h2.ohio.gov/partner-with-us/find-a-grant,h2.ohio.gov,seed_verified,ODNR / Ohio EPA / Ohio Dept. of Agriculture (with Ohio Lake Erie Commission),1,5000000,Up to 100% reimbursement for wetland projects,2025-01-01,TBD,rolling,state,water_quality|environmental|shoreline,Local governments; port authorities; nonprofits; SWCDs; agricultural partners,"Governor DeWine's statewide water-quality initiative funding wetland restoration, natural infrastructure, drinking-water/wastewater, and nutrient reduction. H2Ohio provided $500K to the Mentor Marsh Coastal Restoration Project (CMNH).",0.78,2026-06-01,Multiple sub-programs across agencies. Port can pursue wetland/shoreline restoration; Toledo-Lucas County Port Authority partnered on H2Ohio wetland work (Duck Creek).
Ohio Environmental Education Fund (OEEF),,https://epa.ohio.gov/divisions-and-offices/environmental-education/grant-programs/ohio-environmental-education-fund,epa.ohio.gov,seed_verified,"Ohio EPA, Office of Environmental Education",500,50000,Varies; 10% withheld until completion,2026-01-09,TBD,rolling,state,environmental|community_development,State and local governments; schools; colleges; nonprofits; businesses; trade organizations,"Grants for environmental education projects targeting students, the public, and the regulated community. Mini grants $500-$5,000; general grants up to $50,000; ~$500,000-$700,000 annually.",0.75,2026-06-01,Funded by air/water pollution civil penalties. Good fit for Port maritime/community environmental education programming.
ODNR Coastal — Erosion / Estuarine Land Conservation (CELCP),,https://ohiodnr.gov/buy-and-apply/apply-for-grants/grants/cmag,ohiodnr.gov,seed_verified,"Ohio Department of Natural Resources, Office of Coastal Management",1,5000000,Varies,2025-01-01,TBD,closed,state,shoreline|environmental|lakefront|infrastructure,Local subdivisions; agencies,One-time Erosion Emergency Assistance Grants ($5M in state capital funds) for shoreline erosion control to preserve health/safety; CELCP funded coastal land acquisition (federal funding currently dormant).,0.50,2026-06-01,CELCP federal funding has lapsed for years and erosion grants were a one-time appropriation. Low confidence on current availability — monitor for future capital-budget revivals.
Ohio Rail Development Commission (ORDC) Rail Grants,,https://rail.ohio.gov,rail.ohio.gov,seed_verified,Ohio Rail Development Commission,75000,1200000,Yes — railroad/sponsor match,2025-01-01,TBD,rolling,state,rail|intermodal|infrastructure|economic_development,Companies; railroads; port authorities; local governments,"Grants to preserve/expand freight rail service, rehabilitate track and bridges, build spurs, and improve crossings. Port authorities have received ORDC support (e.g., Sandusky County-Seneca County-City of Tiffin Port Authority's 24-mile rail line).",0.82,2026-06-01,"Rolling board approvals (recent awards $150K-$1.2M). Directly relevant to Port intermodal/rail connectivity (Cleveland Bulk Terminal, dock rail)."
Ohio EPA Diesel Mitigation Trust Fund / Diesel Emissions Reduction Grant (DMTF/DERG),,https://epa.ohio.gov/get-funding,epa.ohio.gov,seed_verified,Ohio EPA (with ODOT),50000,2000000,"Yes — minimum 25% (DMTF) / 20% (DERG) from non-state, non-federal sources",2025-01-01,TBD,rolling,state,clean_diesel|air_quality|decarbonization|maritime,Public and private fleet owners; port cargo-handling equipment operators; locomotive/ferry owners,"Grants to replace or repower older diesel engines, including port cargo-handling equipment, freight-switcher locomotives, ferries, and Class 4-8 trucks. $50,000-$2,000,000 per project.",0.85,2026-06-01,Port cargo-handling equipment and switcher locomotives are EXPLICITLY eligible — a strong decarbonization fit. DMTF is VW-settlement funded; DERG is CMAQ-funded.
TechCred (Ohio),,https://techcred.ohio.gov,techcred.ohio.gov,seed_verified,Ohio Department of Development / Governor's Office of Workforce Transformation,2000,180000,No,2026-01-01,TBD,rolling,state,workforce,Any Ohio employer with W-2 employees (state agencies excluded; political-subdivision eligibility to be confirmed),"Reimburses employers up to $2,000 per credential for employee technology-focused training; up to $30,000 per round and $180,000 per year. Bimonthly application rounds.",0.70,2026-06-01,Caution: Agencies of the State of Ohio are not eligible. The Port (a political subdivision/local authority) should confirm eligibility before relying on this. Useful to upskill maritime/logistics staff.
JobsOhio Workforce Grant,,https://www.jobsohio.com/workforce-talent/jobsohio-workforce-grant,jobsohio.com,seed_verified,JobsOhio,1,1000000,Reimbursement-based,2025-01-01,TBD,rolling,state,workforce|economic_development,Companies in JobsOhio target industries; partners,"Reimburses training costs to improve worker skills tied to job creation/retention; decisions based on job creation, payroll, and investment.",0.60,2026-06-01,Geared to private companies; the Port could partner with tenants/employers rather than apply directly.
JobsOhio Economic Development Grant,,https://www.jobsohio.com/en/programs-services/incentives/economic-development-grant,jobsohio.com,seed_verified,JobsOhio,1,5000000,Reimbursement-based,2025-01-01,TBD,rolling,state,economic_development|infrastructure|real_estate,Companies in target industries with job creation/fixed-asset investment,Funds fixed-asset and infrastructure investment for business expansion and job creation; reimbursement-based.,0.55,2026-06-01,Company-focused; Port relevant as a development partner/landowner. Excludes retail/population-driven businesses.
JobsOhio Revitalization Program (Loan & Grant Fund),,https://www.jobsohio.com,jobsohio.com,seed_verified,JobsOhio,1,5000000,Varies,2025-01-01,TBD,rolling,state,brownfield|environmental|real_estate|economic_development,Businesses; nonprofits; local governments controlling a site with a redevelopment/job plan,Loans and grants (including Phase II assessments) to redevelop brownfield/underutilized sites where redevelopment cost exceeds land value; projects typically retain/create 20+ jobs.,0.65,2026-06-01,Local governments eligible where they commit the project. Useful for Port-owned redevelopment parcels.
Ohio Air Quality Development Authority (OAQDA) — Clean Air Improvement Program (CAIP),,https://ohioairquality.ohio.gov,ohioairquality.ohio.gov,seed_verified,Ohio Air Quality Development Authority,55000,20000000,Varies; grant subsidies offset bond financing,2025-01-01,TBD,rolling,state,air_quality|clean_energy|decarbonization|infrastructure,Cities; counties; municipalities; businesses; governmental agencies,"Tax-exempt conduit bond financing plus grant subsidies for air-quality, energy-efficiency, and renewable-energy facilities; OAQDA may make loans and grants to governmental agencies for the acquisition/construction of air quality facilities.",0.60,2026-06-01,"Primarily conduit bond financing with grant offsets; small-business CARC offers grants up to ~$20K. The Port could finance clean-energy/efficiency upgrades. Largely a financing vehicle, not a pure grant."
Ohio Water Development Authority (OWDA) — Fresh Water / Local Economic Development Loan,,https://www.owda.org/LED-program,owda.org,seed_verified,Ohio Water Development Authority,1,50000000,Below-market loan program,2025-01-01,TBD,rolling,state,water_quality|infrastructure|economic_development,Local governments; industries via the Local Economic Development (LED) Loan,"Below-market loans (not grants) for water, wastewater, and storm-water infrastructure; the LED Loan funds water/sewer projects tied to significant investment and job creation. Applications accepted monthly with same-month approval possible.",0.55,2026-06-01,Loans not grants; included as an overlooked non-federal capital source. Prevailing wage applies to LED projects.
OWDA Research & Development Grant Program,,https://www.owda.org,owda.org,seed_verified,Ohio Water Development Authority,1,500000,Varies,2025-01-01,TBD,rolling,state,water_quality|environmental,Governmental agencies; research entities,Grants under OWDA's authority to engage in research and development related to environmental/water infrastructure.,0.40,2026-06-01,Limited public detail on size and cycle; low confidence — verify directly with OWDA before relying on it.
Ohio Capital Budget — Community Project Funding,,https://archives.obm.ohio.gov/Files/Bonds_and_Investors/Resources/Community_Project_Funding/Tips_for_Securing_Community_Project_Funding.pdf,obm.ohio.gov,seed_verified,Ohio General Assembly / Ohio Office of Budget and Management,1,5000000,Local match strongly improves competitiveness,2026-01-01,2026-03-12,closed,state,infrastructure|economic_development|real_estate|lakefront,Government entities and nonprofits with capital projects and a state nexus,"Biennial legislative earmarks (~$150-200M total per biennium) for local capital improvements (construction, acquisition, infrastructure), secured by petitioning state legislators.",0.75,2026-06-01,"Not a competitive agency grant — access is via legislative advocacy; current cycle deadline to legislators was March 12, 2026. The Port qualifies as a government entity for capital projects. Funded by state bond proceeds (tax-law compliance for life of bonds)."
NOACA Brownfields Revolving Loan Fund (RLF),,https://www.noaca.org/community-assistance-center/funding-programs/brownfields-revolving-loan-fund,noaca.org,seed_verified,NOACA / Vibrant NEO Coalition,1,1000000,Loan or sub-grant,2025-01-01,TBD,rolling,regional,brownfield|environmental|economic_development,Applicants in the 12-county NE Ohio region (incl. Cuyahoga) owning/controlling eligible sites,Loans and sub-grants to clean up hazardous substances or petroleum at brownfield sites; federally capitalized by US EPA but administered regionally by NOACA.,0.60,2026-06-01,An overlooked local source distinct from grants.gov listings. Quarterly review by the Brownfields Steering Committee.
The Cleveland Foundation — Environment / Economic Transformation Grants,,https://www.clevelandfoundation.org/grants/apply-for-a-grant,clevelandfoundation.org,seed_verified,The Cleveland Foundation,3000,2400000,None,2026-01-01,TBD,rolling,foundation,environmental|water_quality|clean_energy|economic_development|lakefront|community_development,"501(c)(3) nonprofits and government agencies in Cuyahoga, Lake, and Geauga counties","Community foundation grants in priority areas including Environment (freshwater/water quality, clean energy) and Economic Transformation; supports government agencies and nonprofits. Four annual deadlines (Mar 31, Jun 30, Sep 15, Dec 31).",0.65,2026-06-01,Government agencies are eligible. The Responsive Grants program was temporarily paused — verify current status. Port could apply or partner for lakefront/environment work.
The George Gund Foundation — Climate Justice / Economic Justice Grants,,https://gundfoundation.org/grant-guidelines/,gundfoundation.org,seed_verified,The George Gund Foundation,10000,300000,None,2025-07-01,TBD,rolling,foundation,environmental|clean_energy|economic_development|lakefront|community_development,Primarily 501(c)(3) nonprofits in Greater Cleveland; capital grants are nonprofit-only and require LEED certification,"Private foundation grants in Climate Justice and Economic Justice (community revitalization, parks/public space, waterfront redevelopment), made over three board cycles per year; funded Irishtown Bend Park along the Cuyahoga River via a nonprofit partner.",0.50,2026-06-01,"The Port (a political subdivision, not a 501(c)(3)) would likely need a nonprofit partner; capital grants require both nonprofit status and LEED certification. Verify eligibility with a program officer. Grant-range figures are from third-party funder databases."
